job,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6,Machine 7,Machine 8,Machine 9,Machine 10,Machine 11,Machine 12,Machine 13,Machine 14,Machine 15,Machine 16,Machine 17,Machine 18,Machine 19,Machine 20
1,71.37388001314837,118.11783457885866,66.41600243356531,104.53731635076967,51.14386033740959,246.6019857854065,24.415376796060645,117.74385802151193,170.30145010262268,133.5632433747793,102.6307437285677,32.88528912514089,103.99295789509313,103.47314984896171,345.1545687919435,239.61709902833408,126.3582144926352,90.12419822642464,110.46432058494531,249.58548070762694
2,87.07217184815919,95.65555209115416,158.637791370263,199.4091945656836,416.96879867892125,72.8694284106891,76.32352069059215,265.946299390903,135.54976638025266,62.46029104827317,137.97557764044203,182.34499853350033,72.03386122761358,18.651772395143258,128.79036706233023,114.7708967899386,131.71924531769747,54.44019048361926,198.57034606028805,182.80085327123064
3,85.85221130499248,73.59663048519687,78.60820967801307,87.05309436063239,89.44064207407428,45.05805874919535,58.96408857052059,117.08808878617678,48.42022227397997,91.0079441545952,36.03061897321618,124.49582178009591,98.75521901644423,56.772093005003335,51.25268152960864,187.02780147234373,54.57295089573929,66.34528872234934,200.0617462749092,152.65629819312718
4,106.93125415933676,77.93270679820431,359.7458224162384,101.94815193248357,135.66075847566572,70.47377555475671,120.75670905909053,57.1825502108002,82.1369256550241,108.98758788597942,170.51204883562585,160.12268365583003,189.81247760975728,136.88259452145252,178.74946882831526,47.58739258067977,87.99896142662733,50.15902382216387,80.76110452008001,122.51241509662088
5,62.10454712011001,79.24952750428393,84.178664765792,162.7984135742538,300.26144387811706,58.89578855603873,63.13999653180992,119.33782361314191,119.87294414803148,148.77823369374812,159.4126716001995,127.76799057625622,60.247091325519506,217.93726509016375,77.59717829105702,95.11334097730924,161.02523232613277,77.64995710565755,350.0134977200533,101.7958153440164
6,45.17708441694344,52.801428357343404,27.688898609843356,47.49556844023301,43.734084417056366,77.0479086881306,13.562958932598681,18.84944039457949,65.38756883047455,42.37358934495727,80.3910610615009,101.45291746148145,44.056899975771515,17.727883513993824,47.46169246469642,25.175894540868093,76.042440477291,24.84479270510097,27.36807074980906,28.36404474513781
7,121.4765854734958,107.50666336883883,90.58027677853934,76.52735803172496,140.8056727523024,20.77351534516133,65.60327177949696,18.263413706263645,68.57534892912408,142.52535517391394,91.77097032100797,216.83713861879855,46.62946723424629,48.177692568189066,111.71750687039052,162.2345013340717,96.2170186315696,37.324957131737904,46.23843682053493,52.91348156535818
8,58.298361928196435,63.99532500620084,32.46205155062508,33.189949993482536,84.93172937418251,86.23323762350603,79.08076660362055,30.423038038812592,56.8787942926336,48.630308981956574,85.26194883057856,36.257193632799904,71.56481269281352,15.409679141020105,36.83123008988724,49.50697539587784,33.57510497177204,10.850768357771896,54.438971398958216,76.97147023563087
9,376.80279491822114,351.2455179690337,125.95005235561513,83.35802587345022,125.62081931909032,226.95294926781236,155.47150132178348,396.84654570326916,246.87450476234304,432.36713132140585,290.5250402641807,156.7498598482289,130.81622303900267,265.21978864474534,252.23800016908893,272.8736327802079,123.74891760164276,639.3381154492392,124.03416874525465,433.20804581309784
10,139.82942080642152,39.08573859678162,94.50392803191428,110.32085360866527,115.01952020503882,81.49997459466451,49.652045942839486,147.93686922108236,62.159789842806724,186.32423831499418,140.19004540546817,208.69439095501068,69.16505744819742,211.50975317826897,245.10663445338216,85.12014744914283,32.51021548991737,188.46418682669955,25.502347916106242,166.94531401042826
11,98.79307463334446,48.036205927868586,146.06292835993918,28.970034343360357,74.4332048901249,225.06943052547913,11.844610108320943,77.55533024207357,149.5146724387579,80.9469744198512,129.22626179671116,71.37202789871598,113.99655013103961,48.09618854971223,201.42990860613,87.40767541404522,162.15043912250187,64.13318896408066,77.14072773939704,79.22219653710701
12,232.69945886663496,120.09120141447013,96.28996085026469,114.39277858807176,191.22845881434765,71.4954040105062,109.7689036303192,143.1344591592477,273.47102567977987,335.0598615268373,188.4413655393497,246.43394940085278,365.11984836618564,65.52316207230076,77.62399161984996,222.03527652443614,348.2631444565908,53.15836503874441,124.16163421788036,13.328428170190644
